Date,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,fdbb,fdbs,fdb,aof,aofvalue,aoaz,aobz,zlc,zlcb,zlcs,aocolor,accolor,zcol,sz,bz,acs,acb,ss,sb,price_peak_above,price_peak_bellow,ao_peak_above,ao_peak_bellow
1993-06-30 21:00:00,0,1.51255,1.51925,1.48975,1.49125,1.5045,-0.2308098143,0.161390531,1.5296749153,1.5104944119,1.4913952418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.2308098143,0,1,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1993-07-01 21:00:00,0,1.49125,1.51875,1.48765,1.51625,1.5032,-0.1842853428,0.2450866029,1.5266191526,1.5055826104,1.4898961935,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.1842853428,0,1,0.0,0.0,0.0,green,green,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1993-07-02 21:00:00,0,1.51625,1.53025,1.50625,1.50925,1.51825,-0.1272223878,0.3134921767,1.5232830639,1.5020722841,1.4925169548,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,-1.0,0.0,-0.1272223878,0,1,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
1993-07-05 21:00:00,0,1.50925,1.51775,1.50575,1.51085,1.51175,-0.0870210063,0.3031510686,1.5196843667,1.4998007486,1.4949135638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0870210063,0,1,0.0,0.0,0.0,green,red,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1993-07-06 21:00:00,0,1.51085,1.51795,1.50245,1.50405,1.5102,-0.071883052,0.2225907193,1.5159548,1.500200655,1.496570851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,-1.0,0.0,-0.071883052,0,1,0.0,0.0,0.0,green,red,gray,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
1993-07-07 21:00:00,0,1.50405,1.50795,1.49095,1.49475,1.49945,-0.0680593042,0.1290550084,1.5129967385,1.5007380732,1.5009066808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0680593042,0,1,0.0,0.0,0.0,green,red,gray,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
1993-07-08 21:00:00,0,1.49475,1.50245,1.49025,1.49625,1.49635,-0.066068912,0.0585511495,1.5107585278,1.501045814,1.5030753447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.066068912,0,1,0.0,0.0,0.0,green,red,gray,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
1993-07-09 21:00:00,0,1.49625,1.49925,1.47575,1.48475,1.4875,-0.0965964577,-0.0607935916,1.510161718,1.5031963373,1.5045002757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0965964577,0,1,0.0,0.0,0.0,red,red,gray,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1993-07-12 21:00:00,0,1.48475,1.48925,1.46925,1.47895,1.47925,-0.1265847812,-0.1326737186,1.5097262012,1.5042655451,1.5034902206,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.1265847812,0,1,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1993-07-13 21:00:00,0,1.47895,1.49975,1.47025,1.49815,1.485,-0.1467933164,-0.1496916365,1.5092241857,1.505007352,1.5020621765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.1467933164,0,1,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
