Date,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,bjaw,bteeth,blips,tjaw,tteeth,tlips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,mfi,fdbb,fdbs,fdb,aoaz,aobz,zlc,zlcb,zlcs,zcol,zone_sig,sz,bz,acs,acb,ss,sb,mfi_sq,mfi_green,mfi_fade,mfi_fake,mfi_sig,mfi_str,mfi_str_M1,mfi_str_W1,mfi_str_D1,zcol_M1,zcol_W1,zcol_D1
2025-04-07 17:00:00,1.42288,1.42548,1.41851,1.42477,1.42292,1.42554,1.41859,1.42501,131628,1.4229,1.42551,1.41855,1.42489,1.42203,-0.08972729031,0.09555329434,1.42203977199,1.42025859487,1.42104506599,1.43435506578,1.4329965683,1.43302979321,1.4273528042,1.42912605956,1.43354434926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00528762877,0,0,0,0,1,0,0,0,red,-1,1,0,0,0,0,0,0,0,0,1,2,-+,++,+-,+-,gray,red,red
2025-04-07 21:00:00,1.42477,1.42477,1.42009,1.42157,1.42501,1.42534,1.42018,1.42166,37754,1.42489,1.425055,1.420135,1.421615,1.422595,-0.07886262908,0.07329413514,1.42211805876,1.42064095801,1.42217955279,1.43428854818,1.43305308524,1.43298612282,1.4273538445,1.42915294342,1.43351669752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01303173174,0,0,0,0,1,0,0,0,gray,0,0,0,0,0,0,0,0,0,0,1,2,-+,++,+-,-+,gray,red,gray
2025-04-08 01:00:00,1.42157,1.42196,1.4158,1.41638,1.42166,1.42204,1.41585,1.41646,62995,1.421615,1.422,1.415825,1.41642,1.4189125,-0.09236920892,-0.02685734351,1.42225320809,1.42096865076,1.42220014223,1.43419814315,1.43313948369,1.43289101627,1.42735720301,1.42917075268,1.43349642532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00980236527,0,0,0,0,1,0,0,0,gray,0,0,0,0,0,0,0,1,0,0,0,1,+-,++,+-,-+,gray,red,gray
2025-04-08 05:00:00,1.41638,1.41925,1.41503,1.41784,1.41646,1.41931,1.41504,1.41788,85461,1.41642,1.41928,1.415035,1.41786,1.4171575,-0.14770732521,-0.24472708213,1.42236988439,1.42168725692,1.42216611379,1.43410442806,1.43323472035,1.43270995697,1.42735109637,1.42918513786,1.43347146751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00496717801,1,0,1,0,1,0,0,0,red,-1,1,0,0,0,0,0,1,0,0,0,1,+-,++,+-,-+,gray,red,gray
2025-04-08 09:00:00,1.41784,1.4204,1.41525,1.41639,1.41788,1.42044,1.4153,1.41642,85116,1.41786,1.42042,1.415275,1.416405,1.4178475,-0.15914826718,-0.23113180949,1.4224427779,1.4217616623,1.42225189103,1.43400572662,1.43333867998,1.43247812,1.4273377115,1.42920761581,1.43345135315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00604469195,0,0,0,0,1,0,0,0,gray,0,0,0,0,0,0,0,0,0,0,1,2,-+,++,+-,-+,gray,red,gray
2025-04-08 13:00:00,1.41639,1.42232,1.41428,1.42022,1.41642,1.42238,1.41435,1.42027,149797,1.416405,1.42235,1.414315,1.420245,1.4183325,-0.16519605551,-0.18526594627,1.42250583344,1.42179520451,1.42158401282,1.43393897688,1.4334359767,1.43207155764,1.42731619237,1.42923639213,1.43344089236,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00536392585,0,0,0,0,1,0,0,0,gray,0,0,0,0,1,0,0,1,0,0,0,1,+-,++,+-,-+,gray,red,gray
2025-04-08 17:00:00,1.42022,1.42719,1.41952,1.42644,1.42027,1.42723,1.41958,1.42685,120138,1.420245,1.42721,1.41955,1.426645,1.42338,-0.13885206393,0.00913933985,1.42282980779,1.42189517895,1.42069871026,1.4338830895,1.43353509531,1.43146540889,1.42729269451,1.42924179388,1.43343434103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00637600093,0,0,0,0,1,0,0,0,gray,0,0,0,0,0,0,0,0,0,0,1,2,-+,++,+-,-+,gray,red,gray
2025-04-08 21:00:00,1.42644,1.42733,1.4242,1.42425,1.42685,1.42741,1.42425,1.42431,44198,1.426645,1.42737,1.424225,1.42428,1.4257975,-0.06358107929,0.36159375529,1.42278770719,1.42152234408,1.42012846821,1.43380988063,1.43362609358,1.43071260275,1.42726616216,1.42924547717,1.43342700185,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00711570659,0,1,-1,0,1,0,0,0,green,1,0,1,0,0,0,0,0,0,0,1,2,-+,++,+-,++,gray,red,gray
2025-04-09 01:00:00,1.42425,1.42475,1.42055,1.42209,1.42431,1.42483,1.42063,1.42215,92565,1.42428,1.42479,1.42059,1.42212,1.42269,0.00083788186,0.53758387714,1.42272942202,1.42097673857,1.41976927457,1.4337495168,1.43367002824,1.43005208502,1.42723987261,1.42924765324,1.43342327267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00453735213,0,0,0,1,0,1,1,0,green,1,0,1,0,0,0,0,1,0,0,0,1,+-,++,+-,++,gray,red,gray
2025-04-09 05:00:00,1.42209,1.42488,1.41929,1.42032,1.42215,1.42494,1.41936,1.42038,134505,1.42212,1.42491,1.419325,1.42035,1.4221175,0.05018002454,0.57549198522,1.42271908187,1.42058558375,1.42049141965,1.43369264021,1.43364193682,1.42940621487,1.42721133846,1.42925234142,1.43341677425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004152262,0,0,0,1,0,0,0,0,green,1,0,1,0,0,0,0,1,0,0,0,1,+-,++,+-,++,gray,red,gray
2025-04-09 09:00:00,1.42032,1.42215,1.41563,1.41733,1.42038,1.42219,1.41567,1.41735,127906,1.42035,1.42217,1.41565,1.41734,1.41891,0.06899066198,0.43338784172,1.42242626788,1.42030394828,1.42155263572,1.4336632847,1.43357331069,1.42877264973,1.42718485613,1.42925540004,1.43341245637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00509749347,0,0,0,1,0,0,0,0,gray,0,0,0,0,0,0,0,0,0,0,1,2,-+,++,+-,++,gray,red,gray
2025-04-09 13:00:00,1.41733,1.42122,1.41323,1.41771,1.41735,1.42126,1.41329,1.41776,136974,1.41734,1.42124,1.41326,1.417735,1.41725,0.03250046444,0.07460900055,1.42202097804,1.42068845475,1.42178010858,1.43363414667,1.43350943232,1.42828867473,1.42716067216,1.42927363867,1.43341853307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00582592317,1,0,1,1,0,0,0,0,gray,0,0,0,0,0,0,0,0,1,0,0,4,++,++,+-,++,gray,red,gray
2025-04-09 17:00:00,1.41771,1.41863,1.40741,1.40779,1.41776,1.4188,1.40754,1.40869,238062,1.417735,1.418715,1.407475,1.40824,1.413095,-0.05458553914,-0.37606624564,1.42169994127,1.4213270854,1.42184758686,1.43360446525,1.43345585173,1.42800606665,1.42713504041,1.42931186339,1.43344422034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00472145912,0,0,0,0,1,-1,0,1,red,-1,1,0,0,0,0,0,1,0,0,0,1,+-,++,+-,++,gray,red,gray
2025-04-09 21:00:00,1.40779,1.41103,1.40733,1.41004,1.40869,1.41113,1.40753,1.41014,48254,1.40824,1.41108,1.40743,1.41009,1.409255,-0.14180234329,-0.67363656402,1.42144090733,1.42149744973,1.42126006949,1.43357728024,1.43342210897,1.42779302058,1.42710780555,1.42935062149,1.43346155214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00756413976,1,0,1,0,1,0,0,0,red,-1,1,0,0,0,0,0,0,0,0,1,2,-+,++,+-,-+,gray,red,gray
