Date,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,fdbb,fdbs,fdb,aof,aofvalue,aoaz,aobz,zlc,zlcb,zlcs,aocolor,accolor,zcol,sz,bz,acs,acb,ss,sb,price_peak_above,price_peak_bellow,ao_peak_above,ao_peak_bellow,tmax,tmin,p,l,target,vector_ao_fdbs,vector_ao_fdbb
1984-12-24 22:00:00,0,165.51,166.93,165.5,166.76,166.215,0.0022416326,0.0108536526,164.5906393473,163.3668003695,164.3906008664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0022416326,1,0,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
1984-12-26 22:00:00,0,166.76,166.76,166.29,166.47,166.525,0.0025922738,0.0074510377,164.4090517052,163.6784503233,164.8994806931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0025922738,1,0,0.0,0.0,0.0,green,red,gray,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
1984-12-27 22:00:00,0,166.47,166.5,165.62,165.75,166.06,0.0021530363,0.0022716682,164.2683554202,164.2105190329,165.0195845545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0021530363,1,0,0.0,0.0,0.0,red,red,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
1984-12-28 22:00:00,0,165.75,166.32,165.67,166.26,165.995,0.0019837531,-0.0001794146,164.1734819263,164.5510791538,165.2586676436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0019837531,1,0,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
1984-12-31 22:00:00,0,166.26,167.34,166.06,167.24,166.7,0.0024475618,0.0007409738,164.3032140858,164.6696942595,165.5119341149,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0024475618,1,0,0.0,0.0,0.0,green,green,gray,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
1985-01-02 22:00:00,0,167.2,167.24,165.19,165.37,166.215,0.0024924918,0.0007172776,164.5825822331,164.8628574771,165.6215472919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0024924918,1,0,0.0,0.0,0.0,green,red,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
1985-01-03 22:00:00,0,165.37,166.11,164.38,164.57,165.245,0.0021478412,-0.0004389311,164.7635374459,165.0706252925,165.6962378335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0021478412,1,0,0.0,0.0,0.0,red,red,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
1985-01-04 22:00:00,0,164.55,164.57,163.36,163.68,163.965,0.0015721288,-0.0025162898,164.8201884116,165.1942971309,165.8969902668,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0015721288,1,0,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
1985-01-07 22:00:00,0,163.68,164.71,163.68,164.24,164.195,0.0010860892,-0.0039018868,164.9274816107,165.2943849895,165.9605922135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0010860892,1,0,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
1985-01-08 22:00:00,0,164.24,164.59,163.91,163.99,164.25,0.0003491903,-0.0053359342,165.0503676407,165.4700868658,165.8174737708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0003491903,1,0,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
