item_id,timestamp,target_value,ao,jaw,teeth,lips,fdbb,price_peak_bellow,ao_peak_bellow
SPX500_D1_8412242200,1984-12-24 22:00:00,0.0,0.0022416326,164.5906393473,163.3668003695,164.3906008664,0.0,0,0
SPX500_D1_8412262200,1984-12-26 22:00:00,0.0,0.0025922738,164.4090517052,163.6784503233,164.8994806931,0.0,0,0
SPX500_D1_8412272200,1984-12-27 22:00:00,0.0,0.0021530363,164.2683554202,164.2105190329,165.0195845545,0.0,0,0
SPX500_D1_8412282200,1984-12-28 22:00:00,0.0,0.0019837531,164.1734819263,164.5510791538,165.2586676436,0.0,0,0
SPX500_D1_8412312200,1984-12-31 22:00:00,0.0,0.0024475618,164.3032140858,164.6696942595,165.5119341149,0.0,0,0
SPX500_D1_8501022200,1985-01-02 22:00:00,0.0,0.0024924918,164.5825822331,164.8628574771,165.6215472919,0.0,0,0
SPX500_D1_8501032200,1985-01-03 22:00:00,0.0,0.0021478412,164.7635374459,165.0706252925,165.6962378335,0.0,0,0
SPX500_D1_8501042200,1985-01-04 22:00:00,0.0,0.0015721288,164.8201884116,165.1942971309,165.8969902668,0.0,0,0
SPX500_D1_8501072200,1985-01-07 22:00:00,0.0,0.0010860892,164.9274816107,165.2943849895,165.9605922135,0.0,0,0
SPX500_D1_8501082200,1985-01-08 22:00:00,0.0,0.0003491903,165.0503676407,165.4700868658,165.8174737708,0.0,0,0
SPX500_D1_8501092200,1985-01-09 22:00:00,0.0,-0.0001587527,165.1280316683,165.5632010076,165.4469790166,0.0,0,0
SPX500_D1_8501102200,1985-01-10 22:00:00,0.0,0.0001543065,165.19472154,165.5234258817,165.1965832133,0.0,0,0
SPX500_D1_8501112200,1985-01-11 22:00:00,-11.0,0.0012912695,165.3105121907,165.3286226465,165.0072665706,0.0,0,0
SPX500_D1_8501142200,1985-01-14 22:00:00,0.0,0.0026846143,165.3800881761,165.1869198156,164.9618132565,0.0,0,0
SPX500_D1_8501152200,1985-01-15 22:00:00,-13.999999999999998,0.0046354656,165.3696967779,165.0698048387,165.2994506052,0.0,0,0
SPX500_D1_8501162200,1985-01-16 22:00:00,0.0,0.0064266281,165.2616431796,165.0335792339,165.8695604842,0.0,0,0
SPX500_D1_8501172200,1985-01-17 22:00:00,0.0,0.007515619,165.1795937043,165.2356318296,166.5086483873,0.0,0,0
SPX500_D1_8501182200,1985-01-18 22:00:00,0.0,0.0081246077,165.1080864962,165.5999278509,167.4289187099,0.0,0,0
SPX500_D1_8501212200,1985-01-21 22:00:00,0.0,0.009029058,165.0828490735,166.0330618696,168.1781349679,0.0,0,0
SPX500_D1_8501222200,1985-01-22 22:00:00,-15.0,0.0099426347,165.2033991447,166.6676791359,168.6995079743,0.0,0,0
SPX500_D1_8501232200,1985-01-23 22:00:00,0.0,0.0109479434,165.430060749,167.2310942439,169.1676063795,0.0,0,0
SPX500_D1_8501242200,1985-01-24 22:00:00,-16.0,0.012352708,165.7096714606,167.6753324634,170.0070851036,0.0,0,0
SPX500_D1_8501252200,1985-01-25 22:00:00,0.0,0.013607191,166.1250813482,168.0959159055,171.1826680828,0.0,0,0
SPX500_D1_8501282200,1985-01-28 22:00:00,0.0,0.0142005479,166.5135366291,168.7545514173,172.1911344663,0.0,0,0
SPX500_D1_8501292200,1985-01-29 22:00:00,0.0,0.01411373,166.8421107346,169.6458574901,173.224907573,0.0,0,0
SPX500_D1_8501302200,1985-01-30 22:00:00,-11.999999999999998,0.0144211261,167.1650252935,170.4682503039,174.0089260584,0.0,0,0
SPX500_D1_8501312200,1985-01-31 22:00:00,0.0,0.0142408445,167.6419464247,171.3297190159,174.6821408467,0.0,0,0
SPX500_D1_8502012200,1985-02-01 22:00:00,0.0,0.0140558358,168.276027469,172.0566291389,175.3227126774,0.0,0,0
SPX500_D1_8502042200,1985-02-04 22:00:00,0.0,0.0138180812,168.8874868945,172.7214254965,176.1901701419,0.0,0,0
SPX500_D1_8502052200,1985-02-05 22:00:00,-15.0,0.0139143531,169.5392186718,173.3668723095,176.7911361135,0.0,0,0
SPX500_D1_8502062200,1985-02-06 22:00:00,0.0,0.0136077995,170.124278774,174.1535132708,177.2399088908,0.0,0,0
SPX500_D1_8502072200,1985-02-07 22:00:00,0.0,0.0136237122,170.6820265606,174.7836991119,177.6019271127,0.0,0,0
SPX500_D1_8502082200,1985-02-08 22:00:00,0.0,0.013870406,171.2361014405,175.3151117229,178.2415416901,0.0,0,0
SPX500_D1_8502112200,1985-02-11 22:00:00,0.0,0.0138062871,171.8840936374,175.7819727576,178.7752333521,0.0,0,0
SPX500_D1_8502122200,1985-02-12 22:00:00,0.0,0.0129336623,172.4464710499,176.4092261629,179.2591866817,0.0,0,0
SPX500_D1_8502132200,1985-02-13 22:00:00,0.0,0.0126051584,172.9532809692,176.9718228925,179.8133493453,0.0,0,0
SPX500_D1_8502142200,1985-02-14 22:00:00,-16.0,0.0124329268,173.4222593562,177.499720031,180.0806794763,0.0,0,0
SPX500_D1_8502152200,1985-02-15 22:00:00,0.0,0.0116593819,173.9897778672,178.0660050271,180.084543581,0.0,0,0
SPX500_D1_8502192200,1985-02-19 22:00:00,0.0,0.0110183806,174.5221026467,178.4515043987,180.5036348648,0.0,0,0
SPX500_D1_8502202200,1985-02-20 22:00:00,0.0,0.0107132778,175.0354024431,178.6575663489,181.0369078919,0.0,0,0
SPX500_D1_8502212200,1985-02-21 22:00:00,0.0,0.0094917902,175.573448409,179.0978705553,181.2185263135,0.0,0,0
SPX500_D1_8502222200,1985-02-22 22:00:00,0.0,0.0076835917,176.002413916,179.6068867358,181.2308210508,0.0,0,0
SPX500_D1_8502252200,1985-02-25 22:00:00,-11.999999999999998,0.005984208,176.3176128455,179.8991508939,181.2586568406,1.0,0,0
SPX500_D1_8502262200,1985-02-26 22:00:00,0.0,0.0049401472,176.7685657036,180.0717570321,181.1269254725,0.0,0,0
SPX500_D1_8502272200,1985-02-27 22:00:00,0.0,0.0041134819,177.2609837264,180.2340374031,180.865540378,0.0,0,0
SPX500_D1_8502282200,1985-02-28 22:00:00,0.0,0.0035067397,177.6212926705,180.2797827277,180.4414323024,0.0,0,0
SPX500_D1_8503012200,1985-03-01 22:00:00,0.0,0.0036948373,177.9027316958,180.2223098868,180.4271458419,0.0,0,0
SPX500_D1_8503042200,1985-03-04 22:00:00,0.0,0.0042353078,178.1694446423,180.0376461509,180.5787166735,0.0,0,0
SPX500_D1_8503052200,1985-03-05 22:00:00,0.0,0.0042538882,178.3564104391,180.0791903821,180.6169733388,0.0,0,0
